experiment,item,condition,sentence,prompt,question_type,options,literal_response,config
dopo,3,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The uncle sold the truck to the father..png?raw=true"" width=""292” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the father receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,3,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The uncle sold the father to the truck..png?raw=true"" width=""292” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the father receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,4,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The contractor lent the homeowner the saw..png?raw=true"" width=""315” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the homeowner receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,4,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The contractor lent the saw the homeowner..png?raw=true"" width=""315” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the homeowner receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,4,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The contractor lent the saw to the homeowner..png?raw=true"" width=""338” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the homeowner receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,4,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The contractor lent the homeowner to the saw..png?raw=true"" width=""338” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the homeowner receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,5,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sailing club leased the man the boat..png?raw=true"" width=""308” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the man receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,5,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sailing club leased the boat the man..png?raw=true"" width=""308” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the man receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,5,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sailing club leased the boat to the man..png?raw=true"" width=""330” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the man receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,5,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sailing club leased the man to the boat..png?raw=true"" width=""330” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the man receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,6,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The girl tossed the boy the apple..png?raw=true"" width=""255” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the apple receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,6,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The girl tossed the apple the boy..png?raw=true"" width=""255” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the apple receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,6,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The girl tossed the apple to the boy..png?raw=true"" width=""278” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the apple receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,6,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The girl tossed the boy to the apple..png?raw=true"" width=""278” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the apple receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,7,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The daughter passed the mother the bowl..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bowl receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,7,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The daughter passed the bowl the mother..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bowl receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,7,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The daughter passed the bowl to the mother..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bowl receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,7,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The daughter passed the mother to the bowl..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bowl receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,8,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The scuba instructor rented the tourist the equipment..png?raw=true"" width=""405” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the equipment receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,8,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The scuba instructor rented the equipment the tourist..png?raw=true"" width=""405” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the equipment receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,8,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The scuba instructor rented the equipment to the tourist..png?raw=true"" width=""428” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the equipment receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,8,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The scuba instructor rented the tourist to the equipment..png?raw=true"" width=""428” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the equipment receive somethingsomeone.png?raw=true"" width=""330” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,9,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The boy handed the girl the pencil..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the pencil receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,9,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The boy handed the pencil the girl..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the pencil receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,9,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The boy handed the pencil to the girl..png?raw=true"" width=""285” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the pencil receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,9,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The boy handed the girl to the pencil..png?raw=true"" width=""285” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the pencil receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,10,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nanny threw the child the toy..png?raw=true"" width=""255” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the toy receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,10,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nanny threw the toy the child..png?raw=true"" width=""255” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the toy receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,10,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nanny threw the toy to the child..png?raw=true"" width=""278” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the toy receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,10,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nanny threw the child to the toy..png?raw=true"" width=""278” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the toy receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,11,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nephew mailed the aunt the postcard..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the postcard receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,11,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nephew mailed the postcard the aunt..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the postcard receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,11,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nephew mailed the postcard to the aunt..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the postcard receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,11,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The nephew mailed the aunt to the postcard..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the postcard receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,12,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The father gave the son the car..png?raw=true"" width=""240” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the car receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,12,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The father gave the car the son..png?raw=true"" width=""240” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the car receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,12,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The father gave the car to the son..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the car receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,12,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The father gave the son to the car..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the car receive somethingsomeone.png?raw=true"" width=""285” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,13,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The shop sold the student the bike..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bike receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,13,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The shop sold the bike the student..png?raw=true"" width=""262” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bike receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,13,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The shop sold the bike to the student..png?raw=true"" width=""285” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bike receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,13,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The shop sold the student to the bike..png?raw=true"" width=""285” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the bike receive somethingsomeone.png?raw=true"" width=""292” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
